図鑑No,名前,系統,紫卵,特性,性格,素質,HP,MP,攻,守,素早,攻魔,回魔,器用
21,キラーマシン,マシン系,18000歩,ときどき追撃,おせっかい,極,956,290,607,724,613,160,152,514
21,キラーマシン,マシン系,18000歩,ときどき追撃,おせっかい,超,880,267,559,666,564,147,140,473
21,キラーマシン,マシン系,18000歩,ときどき追撃,おせっかい,特,813,247,516,615,522,136,129,437
21,キラーマシン,マシン系,18000歩,ときどき追撃,おせっかい,優,765,232,486,579,491,128,121,412
21,キラーマシン,マシン系,18000歩,ときどき追撃,おせっかい,並,717,218,455,543,460,120,114,386
21,キラーマシン,マシン系,18000歩,ときどき追撃,ずのうめいせき,極,976,299,576,667,583,180,147,540
21,キラーマシン,マシン系,18000歩,ときどき追撃,ずのうめいせき,超,898,275,530,614,536,166,136,497
21,キラーマシン,マシン系,18000歩,ときどき追撃,ずのうめいせき,特,830,254,490,567,495,153,125,459
21,キラーマシン,マシン系,18000歩,ときどき追撃,ずのうめいせき,優,781,239,461,534,466,144,118,432
21,キラーマシン,マシン系,18000歩,ときどき追撃,ずのうめいせき,並,732,224,432,501,437,135,111,405
21,キラーマシン,マシン系,18000歩,ときどき追撃,きれもの,極,976,290,589,667,644,185,131,540
21,キラーマシン,マシン系,18000歩,ときどき追撃,きれもの,超,898,267,542,614,593,170,120,497
21,キラーマシン,マシン系,18000歩,ときどき追撃,きれもの,特,830,247,500,567,548,157,111,459
21,キラーマシン,マシン系,18000歩,ときどき追撃,きれもの,優,781,232,471,534,515,148,105,432
21,キラーマシン,マシン系,18000歩,ときどき追撃,きれもの,並,732,218,442,501,483,139,98,405
21,キラーマシン,マシン系,18000歩,ときどき追撃,ちからじまん,極,1037,257,657,724,571,163,133,479
21,キラーマシン,マシン系,18000歩,ときどき追撃,ちからじまん,超,954,237,604,666,525,150,123,440
21,キラーマシン,マシン系,18000歩,ときどき追撃,ちからじまん,特,881,219,558,615,485,139,114,407
21,キラーマシン,マシン系,18000歩,ときどき追撃,ちからじまん,優,829,206,525,579,457,130,107,383
21,キラーマシン,マシン系,18000歩,ときどき追撃,ちからじまん,並,778,193,493,543,428,122,100,359
21,キラーマシン,マシン系,18000歩,ときどき追撃,いっぴきおおかみ,極,1057,271,638,667,644,180,131,489
21,キラーマシン,マシン系,18000歩,ときどき追撃,いっぴきおおかみ,超,972,249,587,614,593,166,120,450
21,キラーマシン,マシン系,18000歩,ときどき追撃,いっぴきおおかみ,特,898,230,542,567,548,153,111,416
21,キラーマシン,マシン系,18000歩,ときどき追撃,いっぴきおおかみ,優,846,217,511,534,515,144,105,391
21,キラーマシン,マシン系,18000歩,ときどき追撃,いっぴきおおかみ,並,793,203,479,501,483,135,98,367
21,キラーマシン,マシン系,18000歩,ときどき追撃,むっつりスケベ,極,1037,263,601,717,663,166,136,540
21,キラーマシン,マシン系,18000歩,ときどき追撃,むっつりスケベ,超,954,242,553,659,610,153,125,497
21,キラーマシン,マシン系,18000歩,ときどき追撃,むっつりスケベ,特,881,223,511,609,563,141,116,459
21,キラーマシン,マシン系,18000歩,ときどき追撃,むっつりスケベ,優,829,210,481,573,530,133,109,432
21,キラーマシン,マシン系,18000歩,ときどき追撃,むっつりスケベ,並,778,197,451,538,497,125,102,405
21,キラーマシン,マシン系,18000歩,ときどき追撃,おおぐらい,極,1017,257,632,738,564,160,131,514
21,キラーマシン,マシン系,18000歩,ときどき追撃,おおぐらい,超,935,237,581,679,519,147,120,473
21,キラーマシン,マシン系,18000歩,ときどき追撃,おおぐらい,特,864,219,537,627,480,136,111,437
21,キラーマシン,マシン系,18000歩,ときどき追撃,おおぐらい,優,813,206,506,590,452,128,105,412
21,キラーマシン,マシン系,18000歩,ときどき追撃,おおぐらい,並,763,193,474,553,423,120,98,386
25,ヘルバトラー,悪魔系,18000歩,なし,ぬけめがない,極,1151,371,581,587,337,605,245,582
25,ヘルバトラー,悪魔系,18000歩,なし,ぬけめがない,超,1059,342,535,541,311,557,226,536
25,ヘルバトラー,悪魔系,18000歩,なし,ぬけめがない,特,979,316,494,499,287,515,209,495
25,ヘルバトラー,悪魔系,18000歩,なし,ぬけめがない,優,921,297,465,470,270,484,196,466
25,ヘルバトラー,悪魔系,18000歩,なし,ぬけめがない,並,864,279,436,441,253,454,184,437
25,ヘルバトラー,悪魔系,18000歩,なし,おせっかい,極,1094,390,570,605,337,563,265,582
25,ヘルバトラー,悪魔系,18000歩,なし,おせっかい,超,1006,359,524,557,311,518,244,536
25,ヘルバトラー,悪魔系,18000歩,なし,おせっかい,特,930,332,484,514,287,479,225,495
25,ヘルバトラー,悪魔系,18000歩,なし,おせっかい,優,875,312,456,484,270,451,212,466
25,ヘルバトラー,悪魔系,18000歩,なし,おせっかい,並,821,293,428,454,253,422,199,437
25,ヘルバトラー,悪魔系,18000歩,なし,ずのうめいせき,極,1117,401,541,558,321,636,258,612
25,ヘルバトラー,悪魔系,18000歩,なし,ずのうめいせき,超,1028,369,498,514,295,585,237,563
25,ヘルバトラー,悪魔系,18000歩,なし,ずのうめいせき,特,949,341,460,475,273,540,219,520
25,ヘルバトラー,悪魔系,18000歩,なし,ずのうめいせき,優,894,321,433,447,257,509,206,489
25,ヘルバトラー,悪魔系,18000歩,なし,ずのうめいせき,並,838,301,406,419,241,477,193,459
25,ヘルバトラー,悪魔系,18000歩,なし,きれもの,極,1117,390,552,558,354,654,228,612
25,ヘルバトラー,悪魔系,18000歩,なし,きれもの,超,1028,359,508,514,326,602,210,563
25,ヘルバトラー,悪魔系,18000歩,なし,きれもの,特,949,332,470,475,301,556,194,520
25,ヘルバトラー,悪魔系,18000歩,なし,きれもの,優,894,312,442,447,284,523,183,489
25,ヘルバトラー,悪魔系,18000歩,なし,きれもの,並,838,293,414,419,266,491,171,459
25,ヘルバトラー,悪魔系,18000歩,なし,ちからじまん,極,1186,346,616,605,314,575,233,542
25,ヘルバトラー,悪魔系,18000歩,なし,ちからじまん,超,1091,318,567,557,289,529,215,498
25,ヘルバトラー,悪魔系,18000歩,なし,ちからじまん,特,1008,294,524,514,267,489,198,461
25,ヘルバトラー,悪魔系,18000歩,なし,ちからじまん,優,949,277,493,484,251,460,187,434
25,ヘルバトラー,悪魔系,18000歩,なし,ちからじまん,並,890,259,462,454,236,432,175,406
25,ヘルバトラー,悪魔系,18000歩,なし,いっぴきおおかみ,極,1209,364,599,558,354,636,228,553
25,ヘルバトラー,悪魔系,18000歩,なし,いっぴきおおかみ,超,1112,335,551,514,326,585,210,509
25,ヘルバトラー,悪魔系,18000歩,なし,いっぴきおおかみ,特,1028,310,509,475,301,540,194,470
25,ヘルバトラー,悪魔系,18000歩,なし,いっぴきおおかみ,優,967,291,479,447,284,509,183,443
25,ヘルバトラー,悪魔系,18000歩,なし,いっぴきおおかみ,並,907,273,449,419,266,477,171,415
25,ヘルバトラー,悪魔系,18000歩,なし,むっつりスケベ,極,1186,353,564,599,364,587,238,612
25,ヘルバトラー,悪魔系,18000歩,なし,むっつりスケベ,超,1091,325,519,551,335,540,219,563
25,ヘルバトラー,悪魔系,18000歩,なし,むっつりスケベ,特,1008,300,480,509,310,499,203,520
25,ヘルバトラー,悪魔系,18000歩,なし,むっつりスケベ,優,949,282,451,479,292,470,191,489
25,ヘルバトラー,悪魔系,18000歩,なし,むっつりスケベ,並,890,265,423,450,273,441,179,459
25,ヘルバトラー,悪魔系,18000歩,なし,おおぐらい,極,1163,346,593,617,311,563,228,582
25,ヘルバトラー,悪魔系,18000歩,なし,おおぐらい,超,1070,318,546,568,286,518,210,536
25,ヘルバトラー,悪魔系,18000歩,なし,おおぐらい,特,989,294,504,524,264,479,194,495
25,ヘルバトラー,悪魔系,18000歩,なし,おおぐらい,優,931,277,475,494,249,451,183,466
25,ヘルバトラー,悪魔系,18000歩,なし,おおぐらい,並,872,259,445,463,233,422,171,437
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,ぬけめがない,極,965,494,371,533,611,803,206,511
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,ぬけめがない,超,888,455,342,491,563,739,190,471
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,ぬけめがない,特,821,420,316,454,520,683,176,435
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,ぬけめがない,優,772,396,297,427,489,643,165,409
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,ぬけめがない,並,724,371,279,400,459,603,155,384
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,おせっかい,極,917,519,364,549,611,747,223,511
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,おせっかい,超,844,478,335,506,563,688,205,471
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,おせっかい,特,780,441,310,467,520,635,190,435
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,おせっかい,優,734,415,291,440,489,598,178,409
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,おせっかい,並,688,390,273,412,459,561,167,384
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,ずのうめいせき,極,937,534,346,507,581,844,217,537
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,ずのうめいせき,超,862,491,318,466,535,776,199,494
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,ずのうめいせき,特,796,454,294,431,494,717,184,457
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,ずのうめいせき,優,749,427,277,406,465,675,174,430
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,ずのうめいせき,並,703,401,259,380,436,633,163,403
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,きれもの,極,937,519,353,507,642,868,192,537
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,きれもの,超,862,478,325,466,591,798,177,494
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,きれもの,特,796,441,300,431,546,738,163,457
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,きれもの,優,749,415,282,406,514,694,154,430
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,きれもの,並,703,390,265,380,482,651,144,403
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,ちからじまん,極,994,460,394,549,569,763,196,476
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,ちからじまん,超,915,423,362,506,523,702,181,438
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,ちからじまん,特,845,391,335,467,483,649,167,404
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,ちからじまん,優,796,368,315,440,455,611,157,381
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,ちからじまん,並,746,345,295,412,427,573,147,357
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,いっぴきおおかみ,極,1014,485,383,507,642,844,192,486
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,いっぴきおおかみ,超,933,446,352,466,591,776,177,447
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,いっぴきおおかみ,特,862,412,325,431,546,717,163,413
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,いっぴきおおかみ,優,811,388,306,406,514,675,154,389
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,いっぴきおおかみ,並,760,364,287,380,482,633,144,365
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,むっつりスケベ,極,994,470,360,544,660,779,200,537
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,むっつりスケベ,超,915,432,332,501,608,717,184,494
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,むっつりスケベ,特,845,399,306,463,561,663,170,457
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,むっつりスケベ,優,796,376,288,435,528,624,160,430
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,むっつりスケベ,並,746,352,270,408,495,585,150,403
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,おおぐらい,極,975,460,379,560,563,747,192,511
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,おおぐらい,超,897,423,349,515,518,688,177,471
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,おおぐらい,特,829,391,322,476,478,635,163,435
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,おおぐらい,優,780,368,303,448,450,598,154,409
10003,りゅうおう,⁇⁇系,18000歩,いきなりやみのはどう,おおぐらい,並,731,345,284,420,422,561,144,384
58,ギガンテス,悪魔系,18000歩,みがわり,ぬけめがない,極,1404,288,540,839,233,185,242,321
58,ギガンテス,悪魔系,18000歩,みがわり,ぬけめがない,超,1292,265,497,772,215,171,223,296
58,ギガンテス,悪魔系,18000歩,みがわり,ぬけめがない,特,1194,245,459,714,199,158,206,273
58,ギガンテス,悪魔系,18000歩,みがわり,ぬけめがない,優,1124,231,432,672,187,148,194,257
58,ギガンテス,悪魔系,18000歩,みがわり,ぬけめがない,並,1053,216,405,630,175,139,182,241
58,ギガンテス,悪魔系,18000歩,みがわり,おせっかい,極,1334,303,530,865,233,173,262,321
58,ギガンテス,悪魔系,18000歩,みがわり,おせっかい,超,1228,279,487,796,215,159,241,296
58,ギガンテス,悪魔系,18000歩,みがわり,おせっかい,特,1134,258,450,735,199,147,223,273
58,ギガンテス,悪魔系,18000歩,みがわり,おせっかい,優,1068,242,424,692,187,138,210,257
58,ギガンテス,悪魔系,18000歩,みがわり,おせっかい,並,1001,227,397,649,175,130,197,241
58,ギガンテス,悪魔系,18000歩,みがわり,ずのうめいせき,極,1362,312,503,798,222,195,255,338
58,ギガンテス,悪魔系,18000歩,みがわり,ずのうめいせき,超,1253,287,463,734,204,179,234,311
58,ギガンテス,悪魔系,18000歩,みがわり,ずのうめいせき,特,1158,265,427,678,189,166,216,287
58,ギガンテス,悪魔系,18000歩,みがわり,ずのうめいせき,優,1090,249,402,638,178,156,204,270
58,ギガンテス,悪魔系,18000歩,みがわり,ずのうめいせき,並,1022,234,377,598,167,146,191,253
58,ギガンテス,悪魔系,18000歩,みがわり,きれもの,極,1362,303,513,798,245,200,226,338
58,ギガンテス,悪魔系,18000歩,みがわり,きれもの,超,1253,279,472,734,226,184,208,311
58,ギガンテス,悪魔系,18000歩,みがわり,きれもの,特,1158,258,437,678,208,170,192,287
58,ギガンテス,悪魔系,18000歩,みがわり,きれもの,優,1090,242,411,638,196,160,181,270
58,ギガンテス,悪魔系,18000歩,みがわり,きれもの,並,1022,227,385,598,184,150,169,253
58,ギガンテス,悪魔系,18000歩,みがわり,ちからじまん,極,1447,268,573,865,217,176,230,299
58,ギガンテス,悪魔系,18000歩,みがわり,ちからじまん,超,1331,247,527,796,200,162,212,275
58,ギガンテス,悪魔系,18000歩,みがわり,ちからじまん,特,1230,228,487,735,185,150,196,254
58,ギガンテス,悪魔系,18000歩,みがわり,ちからじまん,優,1157,215,458,692,174,141,184,239
58,ギガンテス,悪魔系,18000歩,みがわり,ちからじまん,並,1085,201,430,649,163,132,173,224
58,ギガンテス,悪魔系,18000歩,みがわり,いっぴきおおかみ,極,1475,283,557,798,245,195,226,305
58,ギガンテス,悪魔系,18000歩,みがわり,いっぴきおおかみ,超,1357,260,512,734,226,179,208,281
58,ギガンテス,悪魔系,18000歩,みがわり,いっぴきおおかみ,特,1254,240,473,678,208,166,192,260
58,ギガンテス,悪魔系,18000歩,みがわり,いっぴきおおかみ,優,1180,226,445,638,196,156,181,244
58,ギガンテス,悪魔系,18000歩,みがわり,いっぴきおおかみ,並,1106,212,418,598,184,146,169,229
58,ギガンテス,悪魔系,18000歩,みがわり,むっつりスケベ,極,1447,274,524,856,252,180,235,338
58,ギガンテス,悪魔系,18000歩,みがわり,むっつりスケベ,超,1331,252,482,788,232,166,216,311
58,ギガンテス,悪魔系,18000歩,みがわり,むっつりスケベ,特,1230,233,446,728,214,153,200,287
58,ギガンテス,悪魔系,18000歩,みがわり,むっつりスケベ,優,1157,219,420,685,202,144,188,270
58,ギガンテス,悪魔系,18000歩,みがわり,むっつりスケベ,並,1085,206,393,642,189,135,177,253
58,ギガンテス,悪魔系,18000歩,みがわり,おおぐらい,極,1419,268,551,881,215,173,226,321
58,ギガンテス,悪魔系,18000歩,みがわり,おおぐらい,超,1305,247,507,811,198,159,208,296
58,ギガンテス,悪魔系,18000歩,みがわり,おおぐらい,特,1206,228,469,749,183,147,192,273
58,ギガンテス,悪魔系,18000歩,みがわり,おおぐらい,優,1135,215,441,705,172,138,181,257
58,ギガンテス,悪魔系,18000歩,みがわり,おおぐらい,並,1064,201,414,661,161,130,169,241
1006,デスピサロ,⁇⁇系,18000歩,電光石火,ぬけめがない,極,1074,271,607,649,444,325,108,818
1006,デスピサロ,⁇⁇系,18000歩,電光石火,ぬけめがない,超,989,250,559,598,409,299,100,753
1006,デスピサロ,⁇⁇系,18000歩,電光石火,ぬけめがない,特,913,231,516,552,378,277,92,696
1006,デスピサロ,⁇⁇系,18000歩,電光石火,ぬけめがない,優,860,217,486,520,356,260,87,655
1006,デスピサロ,⁇⁇系,18000歩,電光石火,ぬけめがない,並,806,204,456,487,333,244,81,614
1006,デスピサロ,⁇⁇系,18000歩,電光石火,おせっかい,極,1021,285,595,669,444,303,117,818
1006,デスピサロ,⁇⁇系,18000歩,電光石火,おせっかい,超,939,262,548,615,409,279,108,753
1006,デスピサロ,⁇⁇系,18000歩,電光石火,おせっかい,特,868,242,506,569,378,257,100,696
1006,デスピサロ,⁇⁇系,18000歩,電光石火,おせっかい,優,817,228,476,535,356,242,94,655
1006,デスピサロ,⁇⁇系,18000歩,電光石火,おせっかい,並,766,214,447,502,333,227,88,614
1006,デスピサロ,⁇⁇系,18000歩,電光石火,ずのうめいせき,極,1042,293,565,617,422,342,114,859
1006,デスピサロ,⁇⁇系,18000歩,電光石火,ずのうめいせき,超,959,270,520,568,389,314,105,791
1006,デスピサロ,⁇⁇系,18000歩,電光石火,ずのうめいせき,特,886,249,480,525,359,291,97,731
1006,デスピサロ,⁇⁇系,18000歩,電光石火,ずのうめいせき,優,834,235,452,494,338,273,91,688
1006,デスピサロ,⁇⁇系,18000歩,電光石火,ずのうめいせき,並,782,220,424,463,317,256,86,645
1006,デスピサロ,⁇⁇系,18000歩,電光石火,きれもの,極,1042,285,577,617,467,351,101,859
1006,デスピサロ,⁇⁇系,18000歩,電光石火,きれもの,超,959,262,531,568,429,323,93,791
1006,デスピサロ,⁇⁇系,18000歩,電光石火,きれもの,特,886,242,491,525,397,299,86,731
1006,デスピサロ,⁇⁇系,18000歩,電光石火,きれもの,優,834,228,462,494,373,281,81,688
1006,デスピサロ,⁇⁇系,18000歩,電光石火,きれもの,並,782,214,433,463,350,264,76,645
1006,デスピサロ,⁇⁇系,18000歩,電光石火,ちからじまん,極,1107,253,644,669,413,309,103,761
1006,デスピサロ,⁇⁇系,18000歩,電光石火,ちからじまん,超,1018,232,592,615,380,285,95,700
1006,デスピサロ,⁇⁇系,18000歩,電光石火,ちからじまん,特,941,215,547,569,351,263,88,647
1006,デスピサロ,⁇⁇系,18000歩,電光石火,ちからじまん,優,885,202,515,535,331,247,83,609
1006,デスピサロ,⁇⁇系,18000歩,電光石火,ちからじまん,並,830,190,483,502,310,232,77,571
1006,デスピサロ,⁇⁇系,18000歩,電光石火,いっぴきおおかみ,極,1128,266,626,617,467,342,101,778
1006,デスピサロ,⁇⁇系,18000歩,電光石火,いっぴきおおかみ,超,1038,245,576,568,429,314,93,715
1006,デスピサロ,⁇⁇系,18000歩,電光石火,いっぴきおおかみ,特,959,226,532,525,397,291,86,661
1006,デスピサロ,⁇⁇系,18000歩,電光石火,いっぴきおおかみ,優,903,213,501,494,373,273,81,622
1006,デスピサロ,⁇⁇系,18000歩,電光石火,いっぴきおおかみ,並,846,200,469,463,350,256,76,583
1006,デスピサロ,⁇⁇系,18000歩,電光石火,むっつりスケベ,極,1107,258,589,662,480,316,105,859
1006,デスピサロ,⁇⁇系,18000歩,電光石火,むっつりスケベ,超,1018,237,542,610,442,291,97,791
1006,デスピサロ,⁇⁇系,18000歩,電光石火,むっつりスケベ,特,941,219,501,563,408,268,90,731
1006,デスピサロ,⁇⁇系,18000歩,電光石火,むっつりスケベ,優,885,206,472,530,384,253,84,688
1006,デスピサロ,⁇⁇系,18000歩,電光石火,むっつりスケベ,並,830,194,442,497,360,237,79,645
1006,デスピサロ,⁇⁇系,18000歩,電光石火,おおぐらい,極,1085,253,620,682,409,303,101,818
1006,デスピサロ,⁇⁇系,18000歩,電光石火,おおぐらい,超,998,232,570,627,376,279,93,753
1006,デスピサロ,⁇⁇系,18000歩,電光石火,おおぐらい,特,923,215,527,580,348,257,86,696
1006,デスピサロ,⁇⁇系,18000歩,電光石火,おおぐらい,優,868,202,496,546,327,242,81,655
1006,デスピサロ,⁇⁇系,18000歩,電光石火,おおぐらい,並,814,190,465,512,307,227,76,614
76,まおうのつかい,ゾンビ系,18000歩,なし,ぬけめがない,極,1224,260,670,630,400,610,250,440
76,まおうのつかい,ゾンビ系,18000歩,なし,ぬけめがない,超,1127,240,617,580,368,562,230,405
76,まおうのつかい,ゾンビ系,18000歩,なし,ぬけめがない,特,1041,221,570,536,340,519,213,374
76,まおうのつかい,ゾンビ系,18000歩,なし,ぬけめがない,優,980,208,536,504,320,488,200,352
76,まおうのつかい,ゾンビ系,18000歩,なし,ぬけめがない,並,918,195,503,473,300,458,188,330
76,まおうのつかい,ゾンビ系,18000歩,なし,おせっかい,極,1163,273,657,649,400,568,270,440
76,まおうのつかい,ゾンビ系,18000歩,なし,おせっかい,超,1070,252,605,597,368,522,249,405
76,まおうのつかい,ゾンビ系,18000歩,なし,おせっかい,特,989,233,559,552,340,483,230,374
76,まおうのつかい,ゾンビ系,18000歩,なし,おせっかい,優,931,219,526,520,320,454,216,352
76,まおうのつかい,ゾンビ系,18000歩,なし,おせっかい,並,873,205,493,487,300,426,203,330
76,まおうのつかい,ゾンビ系,18000歩,なし,ずのうめいせき,極,1188,281,624,599,380,641,263,462
76,まおうのつかい,ゾンビ系,18000歩,なし,ずのうめいせき,超,1093,259,574,551,350,590,242,426
76,まおうのつかい,ゾンビ系,18000歩,なし,ずのうめいせき,特,1010,239,530,509,323,545,224,393
76,まおうのつかい,ゾンビ系,18000歩,なし,ずのうめいせき,優,950,225,499,479,304,513,210,370
76,まおうのつかい,ゾンビ系,18000歩,なし,ずのうめいせき,並,891,211,468,449,285,481,197,347
76,まおうのつかい,ゾンビ系,18000歩,なし,きれもの,極,1188,273,637,599,420,659,233,462
76,まおうのつかい,ゾンビ系,18000歩,なし,きれもの,超,1093,252,586,551,387,607,214,426
76,まおうのつかい,ゾンビ系,18000歩,なし,きれもの,特,1010,233,542,509,357,560,198,393
76,まおうのつかい,ゾンビ系,18000歩,なし,きれもの,優,950,219,510,479,336,528,186,370
76,まおうのつかい,ゾンビ系,18000歩,なし,きれもの,並,891,205,478,449,315,495,175,347
76,まおうのつかい,ゾンビ系,18000歩,なし,ちからじまん,極,1261,242,711,649,372,580,238,410
76,まおうのつかい,ゾンビ系,18000歩,なし,ちからじまん,超,1160,223,654,597,343,534,219,377
